Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,CPA,Mis,Dis,Rec,PrgR,Season
828,Mathias Jensen,DEN,MF,Brentford,26,1996,31.10,1889,43,368,869,669,29,1889,62,25,40.30,28,45.20,901,3514,1386,21,25,1,54,32,1011,2023
829,Gabriel Jesus,BRA,FW,Arsenal,25,1997,22.90,1080,26,110,407,573,191,1079,112,45,40.20,49,43.80,642,3467,1517,44,31,28,88,65,799,2023
830,Raúl Jiménez,MEX,FW,Wolves,31,1991,9.40,293,11,28,139,127,44,293,10,5,50.00,4,40.00,146,626,241,5,3,2,23,14,219,2023
831,Joelinton,BRA,"MF,FW",Newcastle Utd,25,1996,29.60,1703,71,312,852,562,96,1703,111,53,47.70,42,37.80,897,4853,2286,64,45,13,72,51,1115,2023
832,Ben Johnson,ENG,DF,West Ham,22,2000,9.60,627,43,256,289,87,2,627,17,8,47.10,6,35.30,276,1449,650,15,6,1,7,7,335,2023
833,Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,21,2001,32.60,806,9,90,309,434,116,803,88,33,37.50,41,46.60,450,3848,2111,88,46,42,76,25,507,2023
834,Sam Johnstone,ENG,GK,Crystal Palace,29,1993,9.00,298,242,297,1,0,0,298,0,0,,0,,188,1018,662,0,0,0,1,0,156,2023
835,Curtis Jones,ENG,MF,Liverpool,21,2001,11.50,821,14,105,417,304,40,821,30,11,36.70,13,43.30,550,2645,1011,31,15,11,22,29,627,2023
836,Jorginho,ITA,MF,Arsenal,30,1991,9.50,807,27,159,476,175,8,807,10,3,30.00,5,50.00,523,2399,1252,15,12,0,8,8,629,2023
837,Jorginho,ITA,MF,Chelsea,30,1991,14.20,1026,36,273,577,178,8,1024,12,5,41.70,4,33.30,546,2331,1090,13,27,1,14,9,706,2023
838,Mateo Joseph,ESP,"FW,MF",Leeds United,18,2003,0.30,9,1,1,5,3,1,9,1,0,0.00,1,100.00,5,13,0,0,0,0,1,3,6,2023
839,Diogo Jota,POR,FW,Liverpool,25,1996,12.60,550,21,71,235,252,73,550,39,14,35.90,21,53.80,339,1938,1067,34,26,14,34,19,403,2023
